2014,3,41-50,97041
2014,4,11-20,1634
2014,5,61plus,39484
2014,7,51-60,115943
2014,8,21-30,193333
2014,11,NotAvailable,28026
2014,12,31-40,123435
2015,2,51-60,31824
2015,3,21-30,71871
2015,6,NotAvailable,130392
2015,7,31-40,312259
2015,11,41-50,190730
2015,12,11-20,7792
2014,2,51-60,32318
2014,3,21-30,82733
2014,6,NotAvailable,118232
2014,7,31-40,313272
2014,11,41-50,110763
2014,12,11-20,2305
2015,1,NotAvailable,5628
2015,2,31-40,61908
2015,6,41-50,177630
2015,7,11-20,4824
2015,8,61plus,45233
2015,10,51-60,146058
2015,11,21-30,228768
2014,1,NotAvailable,7254
2014,2,31-40,77243
2014,6,41-50,179943
2014,7,11-20,3198
2014,8,61plus,40527
2014,10,51-60,105701
2014,11,21-30,118996
2015,1,41-50,67859
2015,2,11-20,1213
2015,3,61plus,20052
2015,5,51-60,115221
2015,6,21-30,193734
2015,9,NotAvailable,210113
2015,10,31-40,349596
2014,1,41-50,71404
2014,2,11-20,585
2014,3,61plus,24683
2014,5,51-60,106604
2014,6,21-30,179023
2014,9,NotAvailable,99325
2014,10,31-40,259347
2015,1,21-30,56218
2015,4,NotAvailable,66217
2015,5,31-40,270713
2015,9,41-50,221565
2015,10,11-20,11730
2015,11,61plus,44195
2014,1,21-30,52994
2014,4,NotAvailable,63043
2014,5,31-40,276357
2014,9,41-50,184447
2014,10,11-20,3896
2014,11,61plus,28120
2015,4,41-50,128848
2015,5,11-20,4231
2015,6,61plus,42432
2015,8,51-60,124409
2015,9,21-30,295349
2015,12,NotAvailable,67877
2014,4,41-50,137686
2014,5,11-20,2596
2014,6,61plus,42123
2014,8,51-60,108734
2014,9,21-30,206577
2014,12,NotAvailable,16496
2015,1,61plus,16822
2015,3,51-60,52517
2015,4,21-30,138265
2015,7,NotAvailable,180365
2015,8,31-40,335289
2015,12,41-50,159923
2014,1,61plus,17647
2014,3,51-60,63055
2014,4,21-30,128603
2014,7,NotAvailable,119125
2014,8,31-40,308566
2014,12,41-50,89693
2015,2,NotAvailable,2267
2015,3,31-40,104148
2015,7,41-50,190680
2015,8,11-20,5260
2015,9,61plus,50048
2015,11,51-60,126017
2015,12,21-30,181782
2014,2,NotAvailable,6717
2014,3,31-40,147518
2014,7,41-50,183261
2014,8,11-20,3183
2014,9,61plus,42918
2014,11,51-60,75052
2014,12,21-30,80430
2015,2,41-50,46072
2015,3,11-20,2053
2015,4,61plus,32669
2015,6,51-60,117335
2015,7,21-30,227393
2015,10,NotAvailable,146512
2015,11,31-40,287052
2014,2,41-50,49979
2014,3,11-20,1205
2014,4,61plus,33263
2014,6,51-60,112768
2014,7,21-30,191131
2014,10,NotAvailable,69087
2014,11,31-40,165159
2015,1,51-60,46452
2015,2,21-30,42241
2015,5,NotAvailable,167552
2015,6,31-40,275306
2015,10,41-50,226893
2015,11,11-20,9882
2015,12,61plus,40145
2014,1,51-60,46718
2014,2,21-30,45140
2014,5,NotAvailable,107593
2014,6,31-40,301524
2014,10,41-50,165757
2014,11,11-20,3072
2014,12,61plus,24032
2015,1,31-40,91089
2015,5,41-50,174121
2015,6,11-20,4390
2015,7,61plus,45819
2015,9,51-60,141173
2015,10,21-30,281214
2014,1,31-40,103522
2014,5,41-50,171421
2014,6,11-20,3267
2014,7,61plus,42912
2014,9,51-60,117575
2014,10,21-30,185564
2015,1,11-20,1484
2015,2,61plus,11405
2015,4,51-60,87023
2015,5,21-30,188904
2015,8,NotAvailable,221001
2015,9,31-40,360709
2014,1,11-20,861
2014,2,61plus,12754
2014,4,51-60,87538
2014,5,21-30,162062
2014,8,NotAvailable,135932
2014,9,31-40,298837
2015,3,NotAvailable,12853
2015,4,31-40,196117
2015,8,41-50,193268
2015,9,11-20,10742
2015,10,61plus,50274
2015,12,51-60,110399
2014,3,NotAvailable,22882
2014,4,31-40,219013
2014,8,41-50,173214
2014,9,11-20,4208
2014,10,61plus,39359
2014,12,51-60,62678
2015,3,41-50,78332
2015,4,11-20,3251
2015,5,61plus,41244
2015,7,51-60,124336
2015,8,21-30,254584
2015,11,NotAvailable,100601
2015,12,31-40,236207
